station_name X Y Z dish_dia el_low el_high SEFD altitude
DV11 2224148.9899731167 -5440731.571160822 -2481004.969530935 12.0 15.0 85.0 110.0 5000.0
DV15 2223501.90132862 -5440635.378426675 -2481765.5621545874 12.0 15.0 85.0 110.0 5000.0
DV17 2222794.7971751336 -5441831.645618227 -2479695.831621955 12.0 15.0 85.0 110.0 5000.0
DV22 2224521.0003331313 -5441793.946069272 -2478423.7531030355 12.0 15.0 85.0 110.0 5000.0
DV23 2224986.5523870494 -5440968.640584948 -2479799.6165539166 12.0 15.0 85.0 110.0 5000.0
DV24 2225376.5008288464 -5439991.418645223 -2481543.2338486966 12.0 15.0 85.0 110.0 5000.0
PM01 2224781.4739865907 -5440342.448284232 -2481336.297804828 12.0 15.0 85.0 110.0 5000.0
PM02 2225523.3150130697 -5440197.665209388 -2480975.2683623796 12.0 15.0 85.0 110.0 5000.0
PM03 2226201.2824135944 -5439135.836076639 -2482771.544715866 12.0 15.0 85.0 110.0 5000.0
PM04 2223832.076203972 -5440054.889994776 -2482719.9038238972 12.0 15.0 85.0 110.0 5000.0
