station_name X Y Z dish_dia el_low el_high SEFD altitude
dsa-102 -2404198.715897166 -4481524.342073413 3838317.481467683 5.0 15.0 85.0 110.0 5000.0
dsa-103 -2405172.2090372583 -4481098.021677378 3838204.5762730427 5.0 15.0 85.0 110.0 5000.0
dsa-104 -2404738.1200780175 -4481258.929451007 3838288.741082807 5.0 15.0 85.0 110.0 5000.0
dsa-105 -2404467.0240293844 -4481065.548644258 3838681.7554482487 5.0 15.0 85.0 110.0 5000.0
dsa-106 -2403886.5375452074 -4481234.604111777 3838847.734180643 5.0 15.0 85.0 110.0 5000.0
dsa-107 -2403778.05208381 -4481409.823156181 3838712.362718634 5.0 15.0 85.0 110.0 5000.0
dsa-108 -2403806.3589733965 -4481132.871029618 3839015.570242839 5.0 15.0 85.0 110.0 5000.0
dsa-109 -2404119.613956823 -4481236.607334838 3838700.1312744934 5.0 15.0 85.0 110.0 5000.0
dsa-110 -2404530.132105269 -4481119.491139426 3838579.9257254014 5.0 15.0 85.0 110.0 5000.0
dsa-111 -2404811.4434299064 -4480723.885036693 3838862.8913338 5.0 15.0 85.0 110.0 5000.0
dsa-112 -2404626.7837269334 -4480635.3896876555 3839080.516956044 5.0 15.0 85.0 110.0 5000.0
dsa-113 -2404998.2318918267 -4480814.850991666 3838641.076582309 5.0 15.0 85.0 110.0 5000.0
dsa-114 -2406003.63016909 -4480337.102036115 3838567.864661759 5.0 15.0 85.0 110.0 5000.0
dsa-115 -2405820.830033625 -4480187.026713485 3838855.672204452 5.0 15.0 85.0 110.0 5000.0
dsa-116 -2405440.646475105 -4480462.860737335 3838773.093232437 5.0 15.0 85.0 110.0 5000.0
dsa-117 -2405172.9238247583 -4480616.640032303 3838761.8163233427 5.0 15.0 85.0 110.0 5000.0
dsa-118 -2405249.7688988894 -4480710.906846136 3838604.707859448 5.0 15.0 85.0 110.0 5000.0
dsa-119 -2405451.8749842495 -4480832.716315103 3838337.612734963 5.0 15.0 85.0 110.0 5000.0
dsa-120 -2405612.029396268 -4480425.705167065 3838709.311233038 5.0 15.0 85.0 110.0 5000.0
dsa-121 -2406141.7605235004 -4480240.901817334 3838593.213623138 5.0 15.0 85.0 110.0 5000.0
dsa-122 -2406321.8458911763 -4480218.744954707 3838506.6310215243 5.0 15.0 85.0 110.0 5000.0
dsa-123 -2406014.8842866137 -4480270.233085396 3838638.3180669732 5.0 15.0 85.0 110.0 5000.0
dsa-124 -2405546.509684002 -4480733.484533898 3838393.585683759 5.0 15.0 85.0 110.0 5000.0
dsa-125 -2405742.9991348046 -4480720.140973264 3838286.5677201445 5.0 15.0 85.0 110.0 5000.0
dsa-126 -2406073.265793802 -4480672.059228015 3838136.407739283 5.0 15.0 85.0 110.0 5000.0
dsa-127 -2406235.0272112493 -4480410.986061224 3838338.033897492 5.0 15.0 85.0 110.0 5000.0
dsa-128 -2406063.468886128 -4480589.181729519 3838238.52882398 5.0 15.0 85.0 110.0 5000.0
dsa-129 -2406472.7669178452 -4480310.139568059 3838306.676702773 5.0 15.0 85.0 110.0 5000.0
dsa-130 -2406823.6285789283 -4480123.774190381 3838303.8823727905 5.0 15.0 85.0 110.0 5000.0
dsa-131 -2406653.9016737426 -4479984.920051716 3838570.541198378 5.0 15.0 85.0 110.0 5000.0
dsa-132 -2406684.4953184943 -4479851.02646091 3838706.5885455683 5.0 15.0 85.0 110.0 5000.0
dsa-133 -2406847.999425897 -4479898.599946745 3838549.5581165995 5.0 15.0 85.0 110.0 5000.0
dsa-134 -2403295.906741028 -4477650.499443596 3843368.110791493 5.0 15.0 85.0 110.0 5000.0
dsa-135 -2402893.7770647597 -4478327.6867166925 3842834.239490594 5.0 15.0 85.0 110.0 5000.0
dsa-136 -2403240.79235584 -4478500.526150376 3842417.700221669 5.0 15.0 85.0 110.0 5000.0
dsa-137 -2403282.108928867 -4477990.8055680785 3842982.463150007 5.0 15.0 85.0 110.0 5000.0
dsa-138 -2403430.580524826 -4477989.300913231 3842891.6603797013 5.0 15.0 85.0 110.0 5000.0
dsa-139 -2403312.0269943406 -4478207.598683206 3842712.657440771 5.0 15.0 85.0 110.0 5000.0
dsa-140 -2403377.386574858 -4478287.922937154 3842578.8607614487 5.0 15.0 85.0 110.0 5000.0
dsa-141 -2403357.8869127617 -4478504.598702094 3842339.9942656807 5.0 15.0 85.0 110.0 5000.0
dsa-142 -2403875.1642420143 -4478261.191522568 3842299.5525490823 5.0 15.0 85.0 110.0 5000.0
