station_name X Y Z dish_dia el_low el_high SEFD altitude
A0084 -2037653.2427583414 -4485731.568700059 4039654.639450803 5.0 15.0 85.0 110.0 5000.0
A0085 -2037412.4519761936 -4485900.441459762 4039588.998307195 5.0 15.0 85.0 110.0 5000.0
A0086 -2035913.6931714488 -4484562.266816267 4041835.0062660817 5.0 15.0 85.0 110.0 5000.0
A0087 -2037561.9986702213 -4485813.615824487 4039609.769935429 5.0 15.0 85.0 110.0 5000.0
A0088 -2037317.6901406725 -4485952.256706878 4039579.178776825 5.0 15.0 85.0 110.0 5000.0
A0089 -2036613.1853271949 -4486089.336633787 4039783.20817183 5.0 15.0 85.0 110.0 5000.0
A0090 -2035999.3869434001 -4484426.317150026 4041942.8202874 5.0 15.0 85.0 110.0 5000.0
A0091 -2037762.803265507 -4484106.021376496 4041411.1622196888 5.0 15.0 85.0 110.0 5000.0
A0092 -2036310.9448244164 -4486021.428861348 4040012.141860936 5.0 15.0 85.0 110.0 5000.0
A0093 -2038089.0298247167 -4485184.969562741 4040044.1926687574 5.0 15.0 85.0 110.0 5000.0
A0094 -2035731.9128229232 -4485514.686729249 4040874.4392032363 5.0 15.0 85.0 110.0 5000.0
A0095 -2036679.2494059168 -4483987.31797544 4042087.3040682976 5.0 15.0 85.0 110.0 5000.0
A0096 -2038070.8252445937 -4484475.675467367 4040849.4221751806 5.0 15.0 85.0 110.0 5000.0
A0097 -2037384.3065834658 -4485966.78081847 4039529.671259966 5.0 15.0 85.0 110.0 5000.0
A0098 -2035764.5165918411 -4485634.487453139 4040721.748602563 5.0 15.0 85.0 110.0 5000.0
A0099 -2036634.1131849426 -4483995.029419574 4042101.709033342 5.0 15.0 85.0 110.0 5000.0
A0100 -2035647.2033852958 -4485362.095663759 4041085.658034775 5.0 15.0 85.0 110.0 5000.0
A0101 -2035772.3960961895 -4485692.326940183 4040653.900124528 5.0 15.0 85.0 110.0 5000.0
A0102 -2036541.1993390126 -4483990.477933306 4042153.723567795 5.0 15.0 85.0 110.0 5000.0
A0103 -2038083.3456627042 -4485354.376969958 4039859.1999266758 5.0 15.0 85.0 110.0 5000.0
A0104 -2037466.8186891838 -4485969.527618394 4039485.5503597627 5.0 15.0 85.0 110.0 5000.0
A0105 -2036050.4432666998 -4485983.246769962 4040187.5989425397 5.0 15.0 85.0 110.0 5000.0
A0106 -2035841.14254217 -4485822.389192478 4040476.2002371685 5.0 15.0 85.0 110.0 5000.0
A0107 -2037830.3000155266 -4485726.731041224 4039570.6438226225 5.0 15.0 85.0 110.0 5000.0
A0108 -2036739.3296324608 -4483893.505700908 4042161.404994724 5.0 15.0 85.0 110.0 5000.0
A0109 -2036443.3838741053 -4486173.288103944 4039776.071212612 5.0 15.0 85.0 110.0 5000.0
A0110 -2037567.4171092773 -4485952.032282654 4039454.4525621417 5.0 15.0 85.0 110.0 5000.0
A0111 -2037710.9385800955 -4485853.2815729035 4039491.4610683452 5.0 15.0 85.0 110.0 5000.0
A0112 -2036704.815500434 -4483882.152703622 4042191.493378303 5.0 15.0 85.0 110.0 5000.0
A0113 -2036401.6363277615 -4483991.788062849 4042222.8717064396 5.0 15.0 85.0 110.0 5000.0
A0114 -2036481.0809320414 -4486201.123134581 4039725.7988233864 5.0 15.0 85.0 110.0 5000.0
A0115 -2035824.5632971765 -4485897.907533502 4040397.3882629853 5.0 15.0 85.0 110.0 5000.0
A0116 -2038164.0169300805 -4484165.228158359 4041144.934322579 5.0 15.0 85.0 110.0 5000.0
A0117 -2037769.5004827424 -4483977.599837297 4041549.3387275217 5.0 15.0 85.0 110.0 5000.0
A0118 -2035683.7314460622 -4484633.968773495 4041871.7700932072 5.0 15.0 85.0 110.0 5000.0
A0119 -2035574.7836027103 -4485517.251719967 4040950.5107786367 5.0 15.0 85.0 110.0 5000.0
A0120 -2036699.4515480425 -4483857.056857311 4042222.143447797 5.0 15.0 85.0 110.0 5000.0
A0121 -2035626.8134946907 -4484683.562596947 4041844.830360023 5.0 15.0 85.0 110.0 5000.0
A0122 -2035522.2509778421 -4485425.7640383765 4041077.9824804002 5.0 15.0 85.0 110.0 5000.0
A0123 -2036827.7932957802 -4483812.911090388 4042206.4560041735 5.0 15.0 85.0 110.0 5000.0
A0124 -2038324.2951208828 -4484679.696085608 4040490.585905654 5.0 15.0 85.0 110.0 5000.0
A0125 -2035648.3280894773 -4484599.107911978 4041928.483750504 5.0 15.0 85.0 110.0 5000.0
A0126 -2036587.5763115976 -4486279.797773657 4039584.0125939436 5.0 15.0 85.0 110.0 5000.0
A0127 -2035508.1217390117 -4484890.863956138 4041674.7156064203 5.0 15.0 85.0 110.0 5000.0
A0128 -2035613.1262885178 -4485770.490239575 4040647.2160843 5.0 15.0 85.0 110.0 5000.0
A0129 -2036955.08051766 -4483743.791124857 4042219.159947416 5.0 15.0 85.0 110.0 5000.0
A0130 -2035409.071296113 -4485045.427319889 4041553.89541069 5.0 15.0 85.0 110.0 5000.0
A0131 -2036635.6945277236 -4483795.262301893 4042322.601960876 5.0 15.0 85.0 110.0 5000.0
A0132 -2038370.4792234083 -4484627.542373516 4040525.3373046336 5.0 15.0 85.0 110.0 5000.0
A0133 -2035713.7576220608 -4484400.63776167 4042116.520340443 5.0 15.0 85.0 110.0 5000.0
A0134 -2036108.186633294 -4486225.486754342 4039887.9180406206 5.0 15.0 85.0 110.0 5000.0
A0135 -2036475.7862082857 -4486323.504020751 4039591.938980857 5.0 15.0 85.0 110.0 5000.0
A0136 -2036065.0011834488 -4486216.613299449 4039919.7510712207 5.0 15.0 85.0 110.0 5000.0
A0137 -2037172.2668348586 -4486281.404349797 4039286.0878746677 5.0 15.0 85.0 110.0 5000.0
A0138 -2037784.0084351683 -4483822.112082416 4041713.5778087154 5.0 15.0 85.0 110.0 5000.0
A0139 -2038436.8250455668 -4484892.20566861 4040195.7445183406 5.0 15.0 85.0 110.0 5000.0
A0140 -2038439.0081969008 -4484849.9161341665 4040242.0653326036 5.0 15.0 85.0 110.0 5000.0
A0141 -2037841.4887560671 -4485953.666060307 4039314.0926305573 5.0 15.0 85.0 110.0 5000.0
A0142 -2038412.4815296289 -4485083.271431109 4039993.874196137 5.0 15.0 85.0 110.0 5000.0
A0143 -2037382.0239949033 -4483693.854591607 4042058.393578975 5.0 15.0 85.0 110.0 5000.0
A0144 -2038086.3979886621 -4485726.186921978 4039442.7101449026 5.0 15.0 85.0 110.0 5000.0
A0145 -2036466.871301752 -4483793.941439481 4042408.5414863946 5.0 15.0 85.0 110.0 5000.0
A0146 -2038250.383008549 -4485509.865057074 4039600.1926703276 5.0 15.0 85.0 110.0 5000.0
A0147 -2036775.2947374098 -4483695.681845306 4042362.4510287796 5.0 15.0 85.0 110.0 5000.0
A0148 -2038215.5447457177 -4484209.700404577 4041070.101412367 5.0 15.0 85.0 110.0 5000.0
A0149 -2035519.2266960442 -4484594.563756223 4041997.7661621915 5.0 15.0 85.0 110.0 5000.0
A0150 -2036682.5853973369 -4486394.161601155 4039407.8166167247 5.0 15.0 85.0 110.0 5000.0
A0151 -2035399.474837614 -4485593.087083998 4040953.597326985 5.0 15.0 85.0 110.0 5000.0
A0152 -2036822.4393916414 -4483671.613516164 4042365.3728381945 5.0 15.0 85.0 110.0 5000.0
A0153 -2036611.365804047 -4483719.1637443965 4042418.620061789 5.0 15.0 85.0 110.0 5000.0
A0154 -2035299.9536787847 -4485090.6076086 4041558.6772700897 5.0 15.0 85.0 110.0 5000.0
A0155 -2036112.265975127 -4486312.846919644 4039788.0688257865 5.0 15.0 85.0 110.0 5000.0
A0156 -2035775.8253812743 -4484212.025031126 4042293.631861588 5.0 15.0 85.0 110.0 5000.0
A0157 -2037710.6399428553 -4486124.620239071 4039189.375691091 5.0 15.0 85.0 110.0 5000.0
A0158 -2036301.3316169232 -4486396.671692545 4039598.7036967305 5.0 15.0 85.0 110.0 5000.0
A0159 -2035351.580524136 -4484801.474047875 4041851.861558532 5.0 15.0 85.0 110.0 5000.0
A0160 -2037958.0273595646 -4483793.257656986 4041658.0620266106 5.0 15.0 85.0 110.0 5000.0
A0161 -2038549.6673368437 -4484789.366776344 4040253.656960204 5.0 15.0 85.0 110.0 5000.0
A0162 -2036641.4103645582 -4483645.259764332 4042485.006572485 5.0 15.0 85.0 110.0 5000.0
A0163 -2038088.7935331797 -4483867.674527855 4041510.55540891 5.0 15.0 85.0 110.0 5000.0
